1000001,18009
1000002,9676
1000003,16658
1000005,9636
1000010,17206
1000011,17127
1000014,1500
1000015,8279
1000125,183
1000202,71
1000204,14
1000219,2726
1000221,2
1000019,10459
1000027,20091
1000029,20349
1000030,18417
1000031,20860
1000038,14008
1000039,9373
1000040,12633
1000041,16416
1000215,14132
1000222,37
1000231,18320
1000232,6507
1000233,17536
1000055,11791
1000056,2954
1000057,10614
1000060,9322
1000108,2107
1000157,1537
1000159,8911
1000181,6262
1000182,6621
1000183,4478
1000184,4597
1000185,8119
1000186,4235
1000187,10170
1000210,5404
1000211,5239
1000212,8586
1000213,8555
1000216,8271
1000220,62
1000061,6856
1000062,9173
1000103,9540
1000132,1629
1000178,5394
1000179,3437
1000176,5997
1000244,1864
1000180,565
1000241,450
1000242,4153
1000175,1864
1000006,229
1000007,11717
1000037,11947
1000047,13784
1000136,1790
1000239,4960
1000246,469
1000105,4817
1000016,16410
1000143,3212
1000091,8428
1000092,5045
1000093,8267
1000095,11258
